S.No,Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,TimeSlot,STD_MinOfDay,STA_MinOfDay,DepartureDelayMin,ArrivalDelayMin,SchedBlockMin,ActualBlockMin,Year,Month,Day,DayOfWeek,IsWeekend,Unnamed: 2
1.0,AI2509,2025-07-25,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXU),01:54:00,06:00:00,06:20:00,08:10:00,08:14:00,6AM - 9AM,360.0,490.0,20.0,4.0,130.0,114.0,2025,7,25,4,0,2025-07-25
1.0,AI2509,2025-07-24,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTJ),01:54:00,06:00:00,06:07:00,08:10:00,08:01:00,6AM - 9AM,360.0,490.0,7.0,-9.0,130.0,114.0,2025,7,24,3,0,2025-07-24
1.0,AI2509,2025-07-23,Mumbai (BOM),Chandigarh (IXC),A20N (VT-TQB),02:04:00,06:00:00,06:20:00,08:10:00,08:23:00,6AM - 9AM,360.0,490.0,20.0,13.0,130.0,123.0,2025,7,23,2,0,2025-07-23
1.0,AI2509,2025-07-22,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTU),01:50:00,06:00:00,07:30:00,08:10:00,09:20:00,6AM - 9AM,360.0,490.0,90.0,70.0,130.0,110.0,2025,7,22,1,0,2025-07-22
1.0,AI2509,2025-07-21,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXK),01:50:00,06:00:00,06:11:00,08:10:00,08:01:00,6AM - 9AM,360.0,490.0,11.0,-9.0,130.0,110.0,2025,7,21,0,0,2025-07-21
1.0,AI2509,2025-07-20,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXM),01:48:00,05:30:00,05:50:00,07:40:00,07:39:00,6AM - 9AM,330.0,460.0,20.0,-1.0,130.0,109.0,2025,7,20,6,1,2025-07-20
1.0,AI2509,2025-07-19,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXL),01:54:00,06:00:00,06:15:00,08:10:00,08:09:00,6AM - 9AM,360.0,490.0,15.0,-1.0,130.0,114.0,2025,7,19,5,1,2025-07-19
2.0,AI2625,2025-07-25,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQW),01:09:00,06:00:00,06:17:00,07:25:00,07:26:00,6AM - 9AM,360.0,445.0,17.0,1.0,85.0,69.0,2025,7,25,4,0,2025-07-25
2.0,AI2625,2025-07-24,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQH),01:08:00,06:00:00,06:18:00,07:25:00,07:27:00,6AM - 9AM,360.0,445.0,18.0,2.0,85.0,69.0,2025,7,24,3,0,2025-07-24
2.0,AI2625,2025-07-23,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),01:05:00,06:00:00,06:26:00,07:25:00,07:31:00,6AM - 9AM,360.0,445.0,26.0,6.0,85.0,65.0,2025,7,23,2,0,2025-07-23
2.0,AI2625,2025-07-22,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQF),01:06:00,06:00:00,06:39:00,07:25:00,07:45:00,6AM - 9AM,360.0,445.0,39.0,20.0,85.0,66.0,2025,7,22,1,0,2025-07-22
2.0,AI2625,2025-07-21,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TNU),01:07:00,06:00:00,06:22:00,07:25:00,07:29:00,6AM - 9AM,360.0,445.0,22.0,4.0,85.0,67.0,2025,7,21,0,0,2025-07-21
2.0,AI2625,2025-07-20,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),01:11:00,06:00:00,06:11:00,07:25:00,07:23:00,6AM - 9AM,360.0,445.0,11.0,-2.0,85.0,72.0,2025,7,20,6,1,2025-07-20
2.0,AI2625,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQB),01:13:00,06:00:00,06:20:00,07:25:00,07:33:00,6AM - 9AM,360.0,445.0,20.0,8.0,85.0,73.0,2025,7,19,5,1,2025-07-19
3.0,6E762,2025-07-25,Mumbai (BOM),Delhi (DEL),A21N (VT-NCB),01:42:00,06:00:00,06:08:00,07:55:00,07:49:00,6AM - 9AM,360.0,475.0,8.0,-6.0,115.0,101.0,2025,7,25,4,0,2025-07-25
3.0,6E762,2025-07-24,Mumbai (BOM),Delhi (DEL),A21N (VT-IWQ),01:47:00,06:00:00,06:15:00,07:55:00,08:02:00,6AM - 9AM,360.0,475.0,15.0,7.0,115.0,107.0,2025,7,24,3,0,2025-07-24
3.0,6E762,2025-07-23,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),01:52:00,06:00:00,06:22:00,07:55:00,08:14:00,6AM - 9AM,360.0,475.0,22.0,19.0,115.0,112.0,2025,7,23,2,0,2025-07-23
3.0,6E762,2025-07-22,Mumbai (BOM),Delhi (DEL),A21N (VT-ICF),01:37:00,06:00:00,06:08:00,07:55:00,07:45:00,6AM - 9AM,360.0,475.0,8.0,-10.0,115.0,97.0,2025,7,22,1,0,2025-07-22
3.0,6E762,2025-07-21,Mumbai (BOM),Delhi (DEL),A21N (VT-NCR),01:36:00,06:00:00,06:10:00,07:55:00,07:45:00,6AM - 9AM,360.0,475.0,10.0,-10.0,115.0,95.0,2025,7,21,0,0,2025-07-21
3.0,6E762,2025-07-20,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),01:40:00,06:00:00,06:02:00,07:55:00,07:42:00,6AM - 9AM,360.0,475.0,2.0,-13.0,115.0,100.0,2025,7,20,6,1,2025-07-20
3.0,6E762,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-NCG),01:45:00,06:00:00,06:07:00,07:55:00,07:53:00,6AM - 9AM,360.0,475.0,7.0,-2.0,115.0,106.0,2025,7,19,5,1,2025-07-19
4.0,QP1891,2025-07-25,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAP),02:12:00,06:05:00,06:25:00,08:45:00,08:37:00,6AM - 9AM,365.0,525.0,20.0,-8.0,160.0,132.0,2025,7,25,4,0,2025-07-25
